Title_ID,Title_Name,Sony_Game_Name,Editions,Has_Updates,Update_Count,Latest_Version,Total_Size_MB,Status
CUSA00009,Assassin's Creed IV: Black Flag,Assassin's Creed® IV Black Flag,Original Promo,True,1,01.04,2206.0,found
CUSA00001,The Playroom,THE PLAYROOM,Original,True,1,01.07,34.875,found
CUSA00008,Killzone: Shadow Fall,KILLZONE™ SHADOW FALL,Original Promo,True,1,01.81,2408.3125,found
CUSA00005,Resogun,RESOGUN™,Original,True,1,01.10,636.9375,found
CUSA00007,NBA 2K14,NBA 2K14,Original,True,1,01.05,2313.5,found
CUSA00006,Knack,KNACK™,Original,True,1,01.10,29.5,found
CUSA00012,DC Universe Online,DC Universe Online,Original,True,8,02.83,32390.4375,found
CUSA00016,Watch Dogs,WATCH_DOGS™,Original,True,1,01.04,112.0625,found
CUSA00003,Driveclub,DRIVECLUB™,Original Special Edition Steelbook,True,5,01.28,18302.25,found
CUSA00013,F1 2015,F1™ 2015,Original,True,1,01.08,747.625,found
CUSA00019,Skylanders: Swap Force,Skylanders SWAP Force,Original,True,1,01.01,39.9375,found
CUSA00004,inFamous: Second Son,inFAMOUS™ Second Son,Original,True,1,01.07,3770.1875,found
CUSA00010,Assassin's Creed IV: Black Flag,Assassin's Creed® IV Black Flag,Original,True,1,01.04,2200.75,found
CUSA00002,Killzone: Shadow Fall,KILLZONE™ SHADOW FALL,Original PlayStation Hits,True,1,01.81,2941.375,found
CUSA00022,Watch Dogs,WATCH_DOGS™,Original,True,1,01.03,112.0625,found
CUSA00024,Skylanders: Swap Force,Skylanders SWAP Force,Original,True,1,01.01,40.0,found
CUSA00025,Call of Duty: Ghosts,Call of Duty® Ghosts,Original,True,1,01.21,2497.625,found
CUSA00018,Call of Duty: Ghosts,Call of Duty® Ghosts,Original,True,1,01.21,2484.1875,found
CUSA00028,Call of Duty: Ghosts,Call of Duty® Ghosts,Original,True,1,01.21,2474.4375,found
CUSA00021,Watch Dogs,WATCH_DOGS™,Original,True,1,01.05,112.0625,found
